node_id,label,type
symptom::tiểu rắt,tiểu rắt,symptom
symptom::đau bụng dưới,đau bụng dưới,symptom
symptom::sốt,sốt,symptom
disease::BENH077,Viêm bàng quang,disease
text::Viêm bàng quang,Viêm bàng quang,text
symptom::tiểu buốt,tiểu buốt,symptom
symptom::tiểu rắt,tiểu rắt,symptom
symptom::đau hạ vị,đau hạ vị,symptom
symptom::sốt nhẹ,sốt nhẹ,symptom
disease::BENH078,Viêm thận - bể thận,disease
text::Viêm thận - bể thận,Viêm thận - bể thận,text
symptom::sốt cao,sốt cao,symptom
symptom::đau hông lưng,đau hông lưng,symptom
symptom::tiểu buốt,tiểu buốt,symptom
disease::BENH079,Tiểu buốt,disease
text::Tiểu buốt,Tiểu buốt,text
symptom::tiểu đau,tiểu đau,symptom
symptom::tiểu rắt,tiểu rắt,symptom
symptom::khó chịu khi đi tiểu,khó chịu khi đi tiểu,symptom
disease::BENH080,Tiểu rắt,disease
text::Tiểu rắt,Tiểu rắt,text
symptom::đi tiểu nhiều lần,đi tiểu nhiều lần,symptom
symptom::lượng ít,lượng ít,symptom
symptom::khó chịu,khó chịu,symptom
disease::BENH081,Tiểu đêm,disease
text::Tiểu đêm,Tiểu đêm,text
symptom::đi tiểu nhiều về đêm,đi tiểu nhiều về đêm,symptom
symptom::mất ngủ,mất ngủ,symptom
symptom::mệt,mệt,symptom
disease::BENH082,Sỏi tiết niệu,disease
text::Sỏi tiết niệu,Sỏi tiết niệu,text
symptom::đau quặn thận,đau quặn thận,symptom
symptom::tiểu buốt,tiểu buốt,symptom
symptom::tiểu máu,tiểu máu,symptom
disease::BENH083,Suy thận mạn,disease
text::Suy thận mạn,Suy thận mạn,text
symptom::mệt,mệt,symptom
symptom::phù,phù,symptom
symptom::tiểu ít,tiểu ít,symptom
symptom::chán ăn,chán ăn,symptom
disease::BENH084,Đái máu,disease
text::Đái máu,Đái máu,text
symptom::nước tiểu đỏ,nước tiểu đỏ,symptom
symptom::đau bụng dưới,đau bụng dưới,symptom
symptom::tiểu buốt,tiểu buốt,symptom
disease::BENH085,Phù,disease
text::Phù,Phù,text
symptom::sưng chân,sưng chân,symptom
symptom::mặt,mặt,symptom
symptom::tăng cân nhanh,tăng cân nhanh,symptom
disease::BENH086,Tiểu khó,disease
text::Tiểu khó,Tiểu khó,text
symptom::tiểu khó,tiểu khó,symptom
symptom::dòng tiểu yếu,dòng tiểu yếu,symptom
symptom::đau rát,đau rát,symptom
disease::BENH087,Viêm niệu đạo,disease
text::Viêm niệu đạo,Viêm niệu đạo,text
symptom::tiểu buốt,tiểu buốt,symptom
symptom::tiểu rắt,tiểu rắt,symptom
symptom::ngứa niệu đạo,ngứa niệu đạo,symptom
disease::BENH088,Tăng tiểu đêm,disease
text::Tăng tiểu đêm,Tăng tiểu đêm,text
symptom::đi tiểu đêm nhiều lần,đi tiểu đêm nhiều lần,symptom
symptom::mệt,mệt,symptom
disease::BENH089,Suy thận cấp,disease
text::Suy thận cấp,Suy thận cấp,text
symptom::tiểu ít,tiểu ít,symptom
symptom::phù,phù,symptom
symptom::mệt,mệt,symptom
symptom::buồn nôn,buồn nôn,symptom
disease::BENH090,Đau hông lưng,disease
text::Đau hông lưng,Đau hông lưng,text
symptom::đau hông lưng,đau hông lưng,symptom
symptom::sốt,sốt,symptom
symptom::tiểu buốt,tiểu buốt,symptom
disease::BENH091,Viêm kết mạc,disease
text::Viêm kết mạc,Viêm kết mạc,text
symptom::đỏ mắt,đỏ mắt,symptom
symptom::ngứa mắt,ngứa mắt,symptom
symptom::chảy ghèn,chảy ghèn,symptom
disease::BENH092,Viêm tai giữa,disease
text::Viêm tai giữa,Viêm tai giữa,text
symptom::đau tai,đau tai,symptom
symptom::sốt,sốt,symptom
symptom::ù tai,ù tai,symptom
symptom::nghe kém,nghe kém,symptom
disease::BENH093,Viêm lợi,disease
text::Viêm lợi,Viêm lợi,text
symptom::đỏ lợi,đỏ lợi,symptom
symptom::sưng lợi,sưng lợi,symptom
symptom::chảy máu lợi,chảy máu lợi,symptom
disease::BENH094,Đau răng,disease
text::Đau răng,Đau răng,text
symptom::đau răng,đau răng,symptom
symptom::ê buốt,ê buốt,symptom
symptom::sưng nướu,sưng nướu,symptom
disease::BENH095,Sâu răng,disease
text::Sâu răng,Sâu răng,text
symptom::đau răng,đau răng,symptom
symptom::ê buốt,ê buốt,symptom
symptom::lỗ sâu răng,lỗ sâu răng,symptom
disease::BENH096,Áp xe răng,disease
text::Áp xe răng,Áp xe răng,text
symptom::đau răng,đau răng,symptom
symptom::sưng nướu,sưng nướu,symptom
symptom::mủ,mủ,symptom
symptom::sốt,sốt,symptom
disease::BENH097,Ù tai,disease
text::Ù tai,Ù tai,text
symptom::ù tai,ù tai,symptom
symptom::nghe kém,nghe kém,symptom
symptom::chóng mặt,chóng mặt,symptom
disease::BENH098,Khàn tiếng,disease
text::Khàn tiếng,Khàn tiếng,text
symptom::nói khó,nói khó,symptom
symptom::giọng khàn,giọng khàn,symptom
symptom::đau họng,đau họng,symptom
disease::BENH099,Chảy máu chân răng,disease
text::Chảy máu chân răng,Chảy máu chân răng,text
symptom::chảy máu lợi,chảy máu lợi,symptom
symptom::đau nướu,đau nướu,symptom
disease::BENH100,Viêm xoang mạn,disease
text::Viêm xoang mạn,Viêm xoang mạn,text
symptom::nghẹt mũi,nghẹt mũi,symptom
symptom::đau đầu,đau đầu,symptom
symptom::chảy mũi,chảy mũi,symptom
disease::BENH101,Viêm mũi họng,disease
text::Viêm mũi họng,Viêm mũi họng,text
symptom::sổ mũi,sổ mũi,symptom
symptom::đau họng,đau họng,symptom
symptom::ho,ho,symptom
disease::BENH102,Viêm thanh quản cấp,disease
text::Viêm thanh quản cấp,Viêm thanh quản cấp,text
symptom::khàn tiếng,khàn tiếng,symptom
symptom::ho,ho,symptom
symptom::đau họng,đau họng,symptom
disease::BENH103,Viêm tai ngoài,disease
text::Viêm tai ngoài,Viêm tai ngoài,text
symptom::đau tai,đau tai,symptom
symptom::ngứa tai,ngứa tai,symptom
symptom::chảy dịch,chảy dịch,symptom
disease::BENH104,Viêm nha chu,disease
text::Viêm nha chu,Viêm nha chu,text
symptom::chảy máu lợi,chảy máu lợi,symptom
symptom::hôi miệng,hôi miệng,symptom
symptom::lung lay răng,lung lay răng,symptom
disease::BENH105,Khô mắt,disease
text::Khô mắt,Khô mắt,text
symptom::cộm mắt,cộm mắt,symptom
symptom::khô mắt,khô mắt,symptom
symptom::mỏi mắt,mỏi mắt,symptom
disease::BENH106,Đau đầu căng thẳng,disease
text::Đau đầu căng thẳng,Đau đầu căng thẳng,text
symptom::đau đầu,đau đầu,symptom
symptom::căng cổ,căng cổ,symptom
symptom::mệt,mệt,symptom
symptom::khó tập trung,khó tập trung,symptom
disease::BENH107,Đau nửa đầu,disease
text::Đau nửa đầu,Đau nửa đầu,text
symptom::đau đầu một bên,đau đầu một bên,symptom
symptom::buồn nôn,buồn nôn,symptom
symptom::sợ ánh sáng,sợ ánh sáng,symptom
disease::BENH108,Rối loạn lo âu,disease
text::Rối loạn lo âu,Rối loạn lo âu,text
symptom::lo lắng,lo lắng,symptom
symptom::hồi hộp,hồi hộp,symptom
symptom::mất ngủ,mất ngủ,symptom
symptom::căng thẳng,căng thẳng,symptom
disease::BENH109,Trầm cảm nhẹ,disease
text::Trầm cảm nhẹ,Trầm cảm nhẹ,text
symptom::buồn bã,buồn bã,symptom
symptom::mệt mỏi,mệt mỏi,symptom
symptom::mất hứng thú,mất hứng thú,symptom
disease::BENH110,Rối loạn giấc ngủ,disease
text::Rối loạn giấc ngủ,Rối loạn giấc ngủ,text
symptom::khó ngủ,khó ngủ,symptom
symptom::ngủ không sâu,ngủ không sâu,symptom
symptom::thức giấc sớm,thức giấc sớm,symptom
disease::BENH111,Căng thẳng,disease
text::Căng thẳng,Căng thẳng,text
symptom::mệt,mệt,symptom
symptom::lo âu,lo âu,symptom
symptom::mất ngủ,mất ngủ,symptom
symptom::đau đầu,đau đầu,symptom
disease::BENH112,Chóng mặt,disease
text::Chóng mặt,Chóng mặt,text
symptom::choáng váng,choáng váng,symptom
symptom::buồn nôn,buồn nôn,symptom
symptom::mất thăng bằng,mất thăng bằng,symptom
disease::BENH113,Run tay,disease
text::Run tay,Run tay,text
symptom::run tay,run tay,symptom
symptom::hồi hộp,hồi hộp,symptom
symptom::vã mồ hôi,vã mồ hôi,symptom
disease::BENH114,Rối loạn tập trung,disease
text::Rối loạn tập trung,Rối loạn tập trung,text
symptom::khó tập trung,khó tập trung,symptom
symptom::hay quên,hay quên,symptom
symptom::mệt,mệt,symptom
disease::BENH115,Mệt mỏi,disease
text::Mệt mỏi,Mệt mỏi,text
symptom::mệt,mệt,symptom
symptom::uể oải,uể oải,symptom
symptom::giảm tập trung,giảm tập trung,symptom
disease::BENH116,Mất ngủ mạn,disease
text::Mất ngủ mạn,Mất ngủ mạn,text
symptom::khó ngủ kéo dài,khó ngủ kéo dài,symptom
symptom::thức giấc sớm,thức giấc sớm,symptom
disease::BENH117,Stress,disease
text::Stress,Stress,text
symptom::căng thẳng,căng thẳng,symptom
symptom::mệt,mệt,symptom
symptom::lo âu,lo âu,symptom
disease::BENH118,Rối loạn cảm xúc,disease
text::Rối loạn cảm xúc,Rối loạn cảm xúc,text
symptom::buồn bã,buồn bã,symptom
symptom::lo lắng,lo lắng,symptom
symptom::mất ngủ,mất ngủ,symptom
disease::BENH119,Đau đầu migraine,disease
text::Đau đầu migraine,Đau đầu migraine,text
symptom::đau đầu một bên,đau đầu một bên,symptom
symptom::buồn nôn,buồn nôn,symptom
symptom::sợ ánh sáng,sợ ánh sáng,symptom
disease::BENH120,Hội chứng mệt mỏi,disease
text::Hội chứng mệt mỏi,Hội chứng mệt mỏi,text
symptom::mệt kéo dài,mệt kéo dài,symptom
symptom::giảm tập trung,giảm tập trung,symptom
disease::BENH121,Sỏi tiết niệu mạn,disease
text::Sỏi tiết niệu mạn,Sỏi tiết niệu mạn,text
symptom::đau quặn thận,đau quặn thận,symptom
symptom::tiểu buốt,tiểu buốt,symptom
symptom::tiểu máu,tiểu máu,symptom
disease::BENH122,Viêm phế quản cấp vừa,disease
