src,dst,relation
disease::BENH010,text::Ho kéo dài,has_name
disease::BENH010,symptom::ho khan,has_symptom
disease::BENH010,symptom::ho đờm,has_symptom
disease::BENH010,symptom::mệt,has_symptom
disease::BENH010,symptom::đau ngực,has_symptom
disease::BENH011,text::Viêm thanh quản,has_name
disease::BENH011,symptom::khàn tiếng,has_symptom
disease::BENH011,symptom::ho,has_symptom
disease::BENH011,symptom::đau họng,has_symptom
disease::BENH012,text::Viêm mũi cấp,has_name
disease::BENH012,symptom::nghẹt mũi,has_symptom
disease::BENH012,symptom::chảy mũi,has_symptom
disease::BENH012,symptom::hắt hơi,has_symptom
disease::BENH013,text::Viêm thanh khí phế quản,has_name
disease::BENH013,symptom::ho ông ổng,has_symptom
disease::BENH013,symptom::khàn tiếng,has_symptom
disease::BENH013,symptom::khó thở,has_symptom
disease::BENH014,text::Co thắt phế quản,has_name
disease::BENH014,symptom::khò khè,has_symptom
disease::BENH014,symptom::tức ngực,has_symptom
disease::BENH014,symptom::khó thở,has_symptom
disease::BENH015,text::Viêm phổi cộng đồng,has_name
disease::BENH015,symptom::sốt,has_symptom
disease::BENH015,symptom::ho,has_symptom
disease::BENH015,symptom::khó thở,has_symptom
disease::BENH015,symptom::đau ngực,has_symptom
disease::BENH016,text::Viêm dạ dày,has_name
disease::BENH016,symptom::đau thượng vị,has_symptom
disease::BENH016,symptom::buồn nôn,has_symptom
disease::BENH016,symptom::ợ nóng,has_symptom
disease::BENH016,symptom::đầy bụng,has_symptom
disease::BENH017,text::Trào ngược dạ dày thực quản,has_name
disease::BENH017,symptom::ợ nóng,has_symptom
disease::BENH017,symptom::ợ chua,has_symptom
disease::BENH017,symptom::đau ngực,has_symptom
disease::BENH017,symptom::khó chịu,has_symptom
disease::BENH018,text::Rối loạn tiêu hóa,has_name
disease::BENH018,symptom::đau bụng,has_symptom
disease::BENH018,symptom::đầy hơi,has_symptom
disease::BENH018,symptom::tiêu chảy,has_symptom
disease::BENH018,symptom::buồn nôn,has_symptom
disease::BENH019,text::Tiêu chảy cấp,has_name
disease::BENH019,symptom::tiêu chảy,has_symptom
disease::BENH019,symptom::đau bụng,has_symptom
disease::BENH019,symptom::mất nước,has_symptom
disease::BENH019,symptom::mệt,has_symptom
disease::BENH020,text::Táo bón,has_name
disease::BENH020,symptom::đi ngoài khó,has_symptom
disease::BENH020,symptom::đau bụng,has_symptom
disease::BENH020,symptom::bụng chướng,has_symptom
disease::BENH021,text::Bệnh trĩ,has_name
disease::BENH021,symptom::đau rát hậu môn,has_symptom
disease::BENH021,symptom::chảy máu khi đi ngoài,has_symptom
disease::BENH022,text::Đau bụng,has_name
disease::BENH022,symptom::đau bụng,has_symptom
disease::BENH022,symptom::buồn nôn,has_symptom
disease::BENH022,symptom::chướng bụng,has_symptom
disease::BENH023,text::Viêm gan,has_name
disease::BENH023,symptom::mệt,has_symptom
disease::BENH023,symptom::vàng da,has_symptom
disease::BENH023,symptom::chán ăn,has_symptom
disease::BENH023,symptom::đau hạ sườn phải,has_symptom
disease::BENH024,text::Gan nhiễm mỡ,has_name
disease::BENH024,symptom::mệt,has_symptom
disease::BENH024,symptom::nặng tức hạ sườn phải,has_symptom
disease::BENH025,text::Đầy hơi,has_name
disease::BENH025,symptom::bụng chướng,has_symptom
disease::BENH025,symptom::ợ hơi,has_symptom
disease::BENH025,symptom::khó chịu,has_symptom
disease::BENH025,symptom::chán ăn,has_symptom
disease::BENH026,text::Viêm đại tràng,has_name
disease::BENH026,symptom::đau bụng,has_symptom
disease::BENH026,symptom::tiêu chảy,has_symptom
disease::BENH026,symptom::đầy hơi,has_symptom
disease::BENH026,symptom::mót rặn,has_symptom
disease::BENH027,text::Hội chứng ruột kích thích,has_name
disease::BENH027,symptom::đau bụng,has_symptom
disease::BENH027,symptom::tiêu chảy,has_symptom
disease::BENH027,symptom::táo bón,has_symptom
disease::BENH027,symptom::đầy hơi,has_symptom
disease::BENH028,text::Viêm loét dạ dày tá tràng,has_name
disease::BENH028,symptom::đau thượng vị,has_symptom
disease::BENH028,symptom::ợ nóng,has_symptom
disease::BENH028,symptom::buồn nôn,has_symptom
disease::BENH029,text::Nôn ói,has_name
disease::BENH029,symptom::buồn nôn,has_symptom
disease::BENH029,symptom::nôn,has_symptom
disease::BENH029,symptom::mệt,has_symptom
disease::BENH029,symptom::chóng mặt,has_symptom
disease::BENH030,text::Chán ăn,has_name
disease::BENH030,symptom::ăn kém,has_symptom
disease::BENH030,symptom::sụt cân,has_symptom
disease::BENH030,symptom::mệt,has_symptom
disease::BENH030,symptom::đầy bụng,has_symptom
disease::BENH031,text::Tăng huyết áp,has_name
disease::BENH031,symptom::đau đầu,has_symptom
disease::BENH031,symptom::hoa mắt,has_symptom
disease::BENH031,symptom::chóng mặt,has_symptom
disease::BENH031,symptom::mệt,has_symptom
disease::BENH032,text::Rối loạn lipid máu,has_name
disease::BENH032,symptom::mỡ máu cao,has_symptom
disease::BENH032,symptom::thừa cân,has_symptom
disease::BENH032,symptom::ít triệu chứng,has_symptom
disease::BENH033,text::Đái tháo đường type 2,has_name
disease::BENH033,symptom::khát nước,has_symptom
disease::BENH033,symptom::tiểu nhiều,has_symptom
disease::BENH033,symptom::mệt,has_symptom
disease::BENH033,symptom::sút cân,has_symptom
disease::BENH034,text::Tiền đái tháo đường,has_name
disease::BENH034,symptom::hơi khát nước,has_symptom
disease::BENH034,symptom::mệt,has_symptom
disease::BENH034,symptom::đường huyết tăng nhẹ,has_symptom
disease::BENH035,text::Tăng acid uric máu,has_name
disease::BENH035,symptom::đau khớp,has_symptom
disease::BENH035,symptom::sưng khớp,has_symptom
disease::BENH035,symptom::đau ngón chân cái,has_symptom
disease::BENH036,text::Béo phì,has_name
disease::BENH036,symptom::tăng cân,has_symptom
disease::BENH036,symptom::thừa mỡ,has_symptom
disease::BENH036,symptom::khó thở khi vận động,has_symptom
disease::BENH037,text::Thừa cân,has_name
disease::BENH037,symptom::tăng cân,has_symptom
disease::BENH037,symptom::BMI cao,has_symptom
disease::BENH037,symptom::mệt khi vận động,has_symptom
disease::BENH038,text::Thiếu máu,has_name
disease::BENH038,symptom::mệt,has_symptom
disease::BENH038,symptom::hoa mắt,has_symptom
disease::BENH038,symptom::chóng mặt,has_symptom
disease::BENH038,symptom::da xanh,has_symptom
disease::BENH039,text::Rối loạn chuyển hóa,has_name
disease::BENH039,symptom::mệt,has_symptom
disease::BENH039,symptom::tăng cân,has_symptom
disease::BENH039,symptom::đường huyết bất thường,has_symptom
disease::BENH040,text::Hạ đường huyết,has_name
disease::BENH040,symptom::run tay,has_symptom
disease::BENH040,symptom::vã mồ hôi,has_symptom
disease::BENH040,symptom::đói,has_symptom
disease::BENH040,symptom::mệt,has_symptom
disease::BENH041,text::Rối loạn điện giải,has_name
disease::BENH041,symptom::mệt,has_symptom
disease::BENH041,symptom::co cơ,has_symptom
disease::BENH041,symptom::khát nước,has_symptom
disease::BENH041,symptom::chóng mặt,has_symptom
disease::BENH042,text::Tăng đường huyết,has_name
disease::BENH042,symptom::khát nước,has_symptom
disease::BENH042,symptom::tiểu nhiều,has_symptom
disease::BENH042,symptom::mệt,has_symptom
disease::BENH043,text::Rối loạn tuyến giáp,has_name
disease::BENH043,symptom::mệt,has_symptom
disease::BENH043,symptom::sụt cân,has_symptom
disease::BENH043,symptom::hồi hộp,has_symptom
disease::BENH043,symptom::run tay,has_symptom
disease::BENH044,text::Rối loạn mỡ máu,has_name
disease::BENH044,symptom::ít triệu chứng,has_symptom
disease::BENH044,symptom::mỡ máu cao,has_symptom
disease::BENH045,text::Rối loạn chuyển hóa acid uric,has_name
disease::BENH045,symptom::đau khớp,has_symptom
disease::BENH045,symptom::sưng khớp,has_symptom
disease::BENH045,symptom::mệt,has_symptom
disease::BENH046,text::Đau cơ xương khớp,has_name
disease::BENH046,symptom::đau cơ,has_symptom
disease::BENH046,symptom::đau khớp,has_symptom
disease::BENH046,symptom::cứng khớp,has_symptom
disease::BENH046,symptom::đau khi vận động,has_symptom
disease::BENH047,text::Đau lưng dưới,has_name
disease::BENH047,symptom::đau thắt lưng,has_symptom
disease::BENH047,symptom::đau lan mông,has_symptom
disease::BENH047,symptom::cứng lưng,has_symptom
disease::BENH048,text::Viêm khớp,has_name
disease::BENH048,symptom::đau khớp,has_symptom
disease::BENH048,symptom::sưng khớp,has_symptom
disease::BENH048,symptom::cứng khớp,has_symptom
disease::BENH048,symptom::hạn chế vận động,has_symptom
disease::BENH049,text::Thoái hóa khớp gối,has_name
disease::BENH049,symptom::đau gối,has_symptom
disease::BENH049,symptom::cứng khớp,has_symptom
disease::BENH049,symptom::khó đi lại,has_symptom
disease::BENH050,text::Chấn thương phần mềm,has_name
disease::BENH050,symptom::sưng đau,has_symptom
disease::BENH050,symptom::bầm tím,has_symptom
disease::BENH050,symptom::đau khi vận động,has_symptom
disease::BENH051,text::Trật khớp,has_name
disease::BENH051,symptom::đau dữ dội,has_symptom
disease::BENH051,symptom::biến dạng khớp,has_symptom
disease::BENH051,symptom::hạn chế vận động,has_symptom
disease::BENH052,text::Đau vai gáy,has_name
disease::BENH052,symptom::đau cổ vai gáy,has_symptom
disease::BENH052,symptom::cứng cổ,has_symptom
disease::BENH052,symptom::tê tay,has_symptom
disease::BENH053,text::Đau cổ,has_name
disease::BENH053,symptom::đau cổ,has_symptom
disease::BENH053,symptom::cứng cổ,has_symptom
disease::BENH053,symptom::hạn chế xoay cổ,has_symptom
disease::BENH054,text::Viêm gân,has_name
disease::BENH054,symptom::đau tại gân,has_symptom
disease::BENH054,symptom::sưng nhẹ,has_symptom
disease::BENH054,symptom::đau khi vận động,has_symptom
disease::BENH055,text::Loãng xương,has_name
disease::BENH055,symptom::đau lưng,has_symptom
disease::BENH055,symptom::giảm chiều cao,has_symptom
disease::BENH055,symptom::dễ gãy xương,has_symptom
disease::BENH056,text::Bong gân,has_name
disease::BENH056,symptom::sưng đau,has_symptom
disease::BENH056,symptom::hạn chế vận động,has_symptom
disease::BENH056,symptom::bầm tím,has_symptom
disease::BENH057,text::Đau khớp gối,has_name
disease::BENH057,symptom::đau gối,has_symptom
disease::BENH057,symptom::cứng khớp,has_symptom
disease::BENH057,symptom::đi lại khó,has_symptom
disease::BENH058,text::Đau vai,has_name
disease::BENH058,symptom::đau vai,has_symptom
disease::BENH058,symptom::hạn chế nâng tay,has_symptom
disease::BENH058,symptom::cứng khớp,has_symptom
disease::BENH059,text::Đau lưng trên,has_name
disease::BENH059,symptom::đau lưng,has_symptom
disease::BENH059,symptom::căng cơ,has_symptom
disease::BENH059,symptom::mỏi vai,has_symptom
disease::BENH060,text::Viêm bao hoạt dịch,has_name
disease::BENH060,symptom::đau khớp,has_symptom
disease::BENH060,symptom::sưng nóng,has_symptom
disease::BENH060,symptom::hạn chế vận động,has_symptom
disease::BENH061,text::Dị ứng,has_name
disease::BENH061,symptom::ngứa,has_symptom
disease::BENH061,symptom::nổi mề đay,has_symptom
disease::BENH061,symptom::hắt hơi,has_symptom
disease::BENH061,symptom::chảy nước mắt,has_symptom
disease::BENH062,text::Viêm da dị ứng,has_name
disease::BENH062,symptom::ngứa da,has_symptom
disease::BENH062,symptom::mẩn đỏ,has_symptom
disease::BENH062,symptom::khô da,has_symptom
disease::BENH062,symptom::rát da,has_symptom
disease::BENH063,text::Chàm da,has_name
disease::BENH063,symptom::ngứa,has_symptom
disease::BENH063,symptom::da khô,has_symptom
disease::BENH063,symptom::mẩn đỏ,has_symptom
disease::BENH063,symptom::bong vảy,has_symptom
disease::BENH064,text::Nhiễm trùng da,has_name
disease::BENH064,symptom::đỏ da,has_symptom
disease::BENH064,symptom::sưng,has_symptom
disease::BENH064,symptom::đau,has_symptom
disease::BENH064,symptom::mủ,has_symptom
disease::BENH064,symptom::sốt,has_symptom
disease::BENH065,text::Mẩn ngứa,has_name
disease::BENH065,symptom::ngứa,has_symptom
disease::BENH065,symptom::nổi ban,has_symptom
disease::BENH065,symptom::đỏ da,has_symptom
disease::BENH066,text::Mề đay,has_name
disease::BENH066,symptom::nổi mảng phù,has_symptom
disease::BENH066,symptom::ngứa,has_symptom
disease::BENH066,symptom::đỏ da,has_symptom
disease::BENH067,text::Nấm da,has_name
disease::BENH067,symptom::ngứa,has_symptom
disease::BENH067,symptom::bong vảy,has_symptom
disease::BENH067,symptom::tổn thương vòng,has_symptom
disease::BENH068,text::Nấm kẽ,has_name
disease::BENH068,symptom::ngứa,has_symptom
disease::BENH068,symptom::hăm kẽ,has_symptom
disease::BENH068,symptom::đỏ da,has_symptom
disease::BENH069,text::Viêm da tiếp xúc,has_name
disease::BENH069,symptom::đỏ da,has_symptom
disease::BENH069,symptom::rát,has_symptom
disease::BENH069,symptom::ngứa,has_symptom
disease::BENH069,symptom::phồng rộp,has_symptom
disease::BENH070,text::Rôm sảy,has_name
disease::BENH070,symptom::ngứa,has_symptom
disease::BENH070,symptom::nổi mẩn nhỏ,has_symptom
disease::BENH070,symptom::rát da,has_symptom
disease::BENH071,text::Mụn trứng cá,has_name
disease::BENH071,symptom::mụn viêm,has_symptom
disease::BENH071,symptom::mụn đầu đen,has_symptom
disease::BENH071,symptom::da dầu,has_symptom
disease::BENH072,text::Khô da,has_name
disease::BENH072,symptom::da khô,has_symptom
disease::BENH072,symptom::nứt nẻ,has_symptom
disease::BENH072,symptom::ngứa,has_symptom
disease::BENH073,text::Nấm móng,has_name
disease::BENH073,symptom::móng dày,has_symptom
disease::BENH073,symptom::đổi màu,has_symptom
disease::BENH073,symptom::giòn móng,has_symptom
disease::BENH074,text::Viêm nang lông,has_name
disease::BENH074,symptom::mụn mủ nhỏ,has_symptom
disease::BENH074,symptom::ngứa,has_symptom
disease::BENH074,symptom::đỏ da,has_symptom
disease::BENH075,text::Vảy nến,has_name
disease::BENH075,symptom::mảng đỏ,has_symptom
disease::BENH075,symptom::vảy trắng,has_symptom
disease::BENH075,symptom::ngứa,has_symptom
disease::BENH076,text::Nhiễm khuẩn tiết niệu,has_name
disease::BENH076,symptom::tiểu buốt,has_symptom
disease::BENH076,symptom::tiểu rắt,has_symptom
disease::BENH076,symptom::đau bụng dưới,has_symptom
disease::BENH076,symptom::sốt,has_symptom
disease::BENH077,text::Viêm bàng quang,has_name
disease::BENH077,symptom::tiểu buốt,has_symptom
disease::BENH077,symptom::tiểu rắt,has_symptom
disease::BENH077,symptom::đau hạ vị,has_symptom
disease::BENH077,symptom::sốt nhẹ,has_symptom
disease::BENH078,text::Viêm thận - bể thận,has_name
disease::BENH078,symptom::sốt cao,has_symptom
disease::BENH078,symptom::đau hông lưng,has_symptom
disease::BENH078,symptom::tiểu buốt,has_symptom
disease::BENH079,text::Tiểu buốt,has_name
disease::BENH079,symptom::tiểu đau,has_symptom
disease::BENH079,symptom::tiểu rắt,has_symptom
disease::BENH079,symptom::khó chịu khi đi tiểu,has_symptom
disease::BENH080,text::Tiểu rắt,has_name
disease::BENH080,symptom::đi tiểu nhiều lần,has_symptom
disease::BENH080,symptom::lượng ít,has_symptom
disease::BENH080,symptom::khó chịu,has_symptom
disease::BENH081,text::Tiểu đêm,has_name
disease::BENH081,symptom::đi tiểu nhiều về đêm,has_symptom
disease::BENH081,symptom::mất ngủ,has_symptom
disease::BENH081,symptom::mệt,has_symptom
disease::BENH082,text::Sỏi tiết niệu,has_name
disease::BENH082,symptom::đau quặn thận,has_symptom
disease::BENH082,symptom::tiểu buốt,has_symptom
disease::BENH082,symptom::tiểu máu,has_symptom
disease::BENH083,text::Suy thận mạn,has_name
disease::BENH083,symptom::mệt,has_symptom
disease::BENH083,symptom::phù,has_symptom
disease::BENH083,symptom::tiểu ít,has_symptom
disease::BENH083,symptom::chán ăn,has_symptom
disease::BENH084,text::Đái máu,has_name
disease::BENH084,symptom::nước tiểu đỏ,has_symptom
disease::BENH084,symptom::đau bụng dưới,has_symptom
disease::BENH084,symptom::tiểu buốt,has_symptom
disease::BENH085,text::Phù,has_name
disease::BENH085,symptom::sưng chân,has_symptom
disease::BENH085,symptom::mặt,has_symptom
disease::BENH085,symptom::tăng cân nhanh,has_symptom
disease::BENH086,text::Tiểu khó,has_name
disease::BENH086,symptom::tiểu khó,has_symptom
disease::BENH086,symptom::dòng tiểu yếu,has_symptom
disease::BENH086,symptom::đau rát,has_symptom
disease::BENH087,text::Viêm niệu đạo,has_name
disease::BENH087,symptom::tiểu buốt,has_symptom
disease::BENH087,symptom::tiểu rắt,has_symptom
disease::BENH087,symptom::ngứa niệu đạo,has_symptom
disease::BENH088,text::Tăng tiểu đêm,has_name
disease::BENH088,symptom::đi tiểu đêm nhiều lần,has_symptom
disease::BENH088,symptom::mệt,has_symptom
disease::BENH089,text::Suy thận cấp,has_name
disease::BENH089,symptom::tiểu ít,has_symptom
disease::BENH089,symptom::phù,has_symptom
disease::BENH089,symptom::mệt,has_symptom
disease::BENH089,symptom::buồn nôn,has_symptom
disease::BENH090,text::Đau hông lưng,has_name
disease::BENH090,symptom::đau hông lưng,has_symptom
disease::BENH090,symptom::sốt,has_symptom
disease::BENH090,symptom::tiểu buốt,has_symptom
disease::BENH091,text::Viêm kết mạc,has_name
disease::BENH091,symptom::đỏ mắt,has_symptom
disease::BENH091,symptom::ngứa mắt,has_symptom
disease::BENH091,symptom::chảy ghèn,has_symptom
disease::BENH092,text::Viêm tai giữa,has_name
disease::BENH092,symptom::đau tai,has_symptom
disease::BENH092,symptom::sốt,has_symptom
disease::BENH092,symptom::ù tai,has_symptom
disease::BENH092,symptom::nghe kém,has_symptom
disease::BENH093,text::Viêm lợi,has_name
disease::BENH093,symptom::đỏ lợi,has_symptom
disease::BENH093,symptom::sưng lợi,has_symptom
disease::BENH093,symptom::chảy máu lợi,has_symptom
disease::BENH094,text::Đau răng,has_name
disease::BENH094,symptom::đau răng,has_symptom
disease::BENH094,symptom::ê buốt,has_symptom
disease::BENH094,symptom::sưng nướu,has_symptom
disease::BENH095,text::Sâu răng,has_name
disease::BENH095,symptom::đau răng,has_symptom
disease::BENH095,symptom::ê buốt,has_symptom
disease::BENH095,symptom::lỗ sâu răng,has_symptom
disease::BENH096,text::Áp xe răng,has_name
disease::BENH096,symptom::đau răng,has_symptom
disease::BENH096,symptom::sưng nướu,has_symptom
disease::BENH096,symptom::mủ,has_symptom
disease::BENH096,symptom::sốt,has_symptom
disease::BENH097,text::Ù tai,has_name
disease::BENH097,symptom::ù tai,has_symptom
disease::BENH097,symptom::nghe kém,has_symptom
disease::BENH097,symptom::chóng mặt,has_symptom
disease::BENH098,text::Khàn tiếng,has_name
disease::BENH098,symptom::nói khó,has_symptom
disease::BENH098,symptom::giọng khàn,has_symptom
disease::BENH098,symptom::đau họng,has_symptom
disease::BENH099,text::Chảy máu chân răng,has_name
disease::BENH099,symptom::chảy máu lợi,has_symptom
disease::BENH099,symptom::đau nướu,has_symptom
disease::BENH100,text::Viêm xoang mạn,has_name
disease::BENH100,symptom::nghẹt mũi,has_symptom
disease::BENH100,symptom::đau đầu,has_symptom
disease::BENH100,symptom::chảy mũi,has_symptom
disease::BENH101,text::Viêm mũi họng,has_name
disease::BENH101,symptom::sổ mũi,has_symptom
disease::BENH101,symptom::đau họng,has_symptom
disease::BENH101,symptom::ho,has_symptom
disease::BENH102,text::Viêm thanh quản cấp,has_name
disease::BENH102,symptom::khàn tiếng,has_symptom
disease::BENH102,symptom::ho,has_symptom
disease::BENH102,symptom::đau họng,has_symptom
disease::BENH103,text::Viêm tai ngoài,has_name
disease::BENH103,symptom::đau tai,has_symptom
disease::BENH103,symptom::ngứa tai,has_symptom
disease::BENH103,symptom::chảy dịch,has_symptom
disease::BENH104,text::Viêm nha chu,has_name
disease::BENH104,symptom::chảy máu lợi,has_symptom
disease::BENH104,symptom::hôi miệng,has_symptom
disease::BENH104,symptom::lung lay răng,has_symptom
disease::BENH105,text::Khô mắt,has_name
disease::BENH105,symptom::cộm mắt,has_symptom
disease::BENH105,symptom::khô mắt,has_symptom
disease::BENH105,symptom::mỏi mắt,has_symptom
disease::BENH106,text::Đau đầu căng thẳng,has_name
disease::BENH106,symptom::đau đầu,has_symptom
disease::BENH106,symptom::căng cổ,has_symptom
disease::BENH106,symptom::mệt,has_symptom
disease::BENH106,symptom::khó tập trung,has_symptom
disease::BENH107,text::Đau nửa đầu,has_name
disease::BENH107,symptom::đau đầu một bên,has_symptom
disease::BENH107,symptom::buồn nôn,has_symptom
disease::BENH107,symptom::sợ ánh sáng,has_symptom
disease::BENH108,text::Rối loạn lo âu,has_name
disease::BENH108,symptom::lo lắng,has_symptom
disease::BENH108,symptom::hồi hộp,has_symptom
disease::BENH108,symptom::mất ngủ,has_symptom
disease::BENH108,symptom::căng thẳng,has_symptom
disease::BENH109,text::Trầm cảm nhẹ,has_name
disease::BENH109,symptom::buồn bã,has_symptom
disease::BENH109,symptom::mệt mỏi,has_symptom
disease::BENH109,symptom::mất hứng thú,has_symptom
disease::BENH110,text::Rối loạn giấc ngủ,has_name
disease::BENH110,symptom::khó ngủ,has_symptom
disease::BENH110,symptom::ngủ không sâu,has_symptom
disease::BENH110,symptom::thức giấc sớm,has_symptom
disease::BENH111,text::Căng thẳng,has_name
disease::BENH111,symptom::mệt,has_symptom
disease::BENH111,symptom::lo âu,has_symptom
disease::BENH111,symptom::mất ngủ,has_symptom
disease::BENH111,symptom::đau đầu,has_symptom
disease::BENH112,text::Chóng mặt,has_name
disease::BENH112,symptom::choáng váng,has_symptom
disease::BENH112,symptom::buồn nôn,has_symptom
disease::BENH112,symptom::mất thăng bằng,has_symptom
disease::BENH113,text::Run tay,has_name
disease::BENH113,symptom::run tay,has_symptom
disease::BENH113,symptom::hồi hộp,has_symptom
disease::BENH113,symptom::vã mồ hôi,has_symptom
disease::BENH114,text::Rối loạn tập trung,has_name
disease::BENH114,symptom::khó tập trung,has_symptom
disease::BENH114,symptom::hay quên,has_symptom
disease::BENH114,symptom::mệt,has_symptom
disease::BENH115,text::Mệt mỏi,has_name
disease::BENH115,symptom::mệt,has_symptom
disease::BENH115,symptom::uể oải,has_symptom
disease::BENH115,symptom::giảm tập trung,has_symptom
disease::BENH116,text::Mất ngủ mạn,has_name
disease::BENH116,symptom::khó ngủ kéo dài,has_symptom
disease::BENH116,symptom::thức giấc sớm,has_symptom
disease::BENH117,text::Stress,has_name
disease::BENH117,symptom::căng thẳng,has_symptom
disease::BENH117,symptom::mệt,has_symptom
disease::BENH117,symptom::lo âu,has_symptom
disease::BENH118,text::Rối loạn cảm xúc,has_name
disease::BENH118,symptom::buồn bã,has_symptom
disease::BENH118,symptom::lo lắng,has_symptom
disease::BENH118,symptom::mất ngủ,has_symptom
disease::BENH119,text::Đau đầu migraine,has_name
disease::BENH119,symptom::đau đầu một bên,has_symptom
disease::BENH119,symptom::buồn nôn,has_symptom
disease::BENH119,symptom::sợ ánh sáng,has_symptom
disease::BENH120,text::Hội chứng mệt mỏi,has_name
disease::BENH120,symptom::mệt kéo dài,has_symptom
disease::BENH120,symptom::giảm tập trung,has_symptom
disease::BENH121,text::Sỏi tiết niệu mạn,has_name
disease::BENH121,symptom::đau quặn thận,has_symptom
disease::BENH121,symptom::tiểu buốt,has_symptom
disease::BENH121,symptom::tiểu máu,has_symptom
disease::BENH122,text::Viêm phế quản cấp vừa,has_name
disease::BENH122,symptom::ho đờm,has_symptom
disease::BENH122,symptom::khó thở nhẹ,has_symptom
disease::BENH122,symptom::sốt,has_symptom
disease::BENH122,symptom::đau ngực,has_symptom
disease::BENH123,text::Rối loạn lipid máu nhẹ,has_name
disease::BENH123,symptom::mỡ máu cao,has_symptom
disease::BENH123,symptom::thừa cân,has_symptom
disease::BENH123,symptom::ít triệu chứng,has_symptom
disease::BENH124,text::Rối loạn tiêu hóa mạn,has_name
disease::BENH124,symptom::đau bụng,has_symptom
disease::BENH124,symptom::đầy hơi,has_symptom
disease::BENH124,symptom::tiêu chảy,has_symptom
disease::BENH124,symptom::buồn nôn,has_symptom
disease::BENH125,text::Viêm niệu đạo mạn,has_name
disease::BENH125,symptom::tiểu buốt,has_symptom
disease::BENH125,symptom::tiểu rắt,has_symptom
disease::BENH125,symptom::ngứa niệu đạo,has_symptom
disease::BENH126,text::Nhiễm khuẩn tiết niệu không đặc hiệu,has_name
disease::BENH126,symptom::tiểu buốt,has_symptom
disease::BENH126,symptom::tiểu rắt,has_symptom
disease::BENH126,symptom::đau bụng dưới,has_symptom
disease::BENH126,symptom::sốt,has_symptom
disease::BENH127,text::Viêm mũi xoang cấp,has_name
disease::BENH127,symptom::nghẹt mũi,has_symptom
disease::BENH127,symptom::chảy mũi,has_symptom
disease::BENH127,symptom::đau đầu,has_symptom
disease::BENH127,symptom::sốt,has_symptom
disease::BENH128,text::Viêm mũi cấp nhẹ,has_name
disease::BENH128,symptom::nghẹt mũi,has_symptom
disease::BENH128,symptom::chảy mũi,has_symptom
disease::BENH128,symptom::hắt hơi,has_symptom
disease::BENH129,text::Viêm bao hoạt dịch cấp,has_name
disease::BENH129,symptom::đau khớp,has_symptom
disease::BENH129,symptom::sưng nóng,has_symptom
disease::BENH129,symptom::hạn chế vận động,has_symptom
disease::BENH130,text::Trật khớp không đặc hiệu,has_name
disease::BENH130,symptom::đau dữ dội,has_symptom
disease::BENH130,symptom::biến dạng khớp,has_symptom
disease::BENH130,symptom::hạn chế vận động,has_symptom
disease::BENH131,text::Đau khớp gối chưa rõ nguyên nhân,has_name
disease::BENH131,symptom::đau gối,has_symptom
disease::BENH131,symptom::cứng khớp,has_symptom
disease::BENH131,symptom::đi lại khó,has_symptom
disease::BENH132,text::Khô da cấp,has_name
disease::BENH132,symptom::da khô,has_symptom
